Username,Content
Honest_truth20,"Well, let me say one man's food is another man's poison. I've always wanted long distance relationship, that was what I did with my man, we are currently married blessed with kid and living happily together. Just do your thing, there are no sure way to do it"
emmanueleze961,"Imo this thread, I'm in a long distance relationship rn n it's been going on for over a year, I can relate to the frustration and depression it brings. Funny thing I can't leave her cos she's so supportive. I won't be where I am now if not for her but Gosh its terrible ??"
chydubem1,"Long distance is draining, if you are a passionate love, I will add please, don't try it for any reason. All those imagine am there with you in this cold weather, the truth is you're not there. Period! Love who you see."
eazzzeey,"I just left one. It's a pity I wasn't intentional about my love life few years ago, it hurts but I know it's the best decision.
Looking forward to seeing someone in my current area. All the shenanigans that comes with LDR is too much for me to bear. I no do again."
Real_Chimmeli,"I can't and don't want to do long distance. I want to be around my man, I want to drop by your house and you'll do same. I want to see you everytime. I want to be around you.
I don't want to be hopping on planes or driving miles away just to see my man biko. I'll be tired."
NeroChello,"Some people are living in same city and still in long distance relationship, they don't see often as they should.
You can be in a relationship for 5 years but if you count how much time you've shared it's mot up to a month because you spend less ""quality time"" with lover."
Prezain_LJ,I keep saying it that long distance relationship should be avoided if possible. It leaves the partners involved vulnerable and prone to external attacks.
dammiebhoy,"It works for some, it doesn't work for others.
I am i a long distance relationship and it has been 6 months so far... Once there is trust and effective communication LDR can work. I wouldn't lie, there are times I crave physical presence of my Date."
imoh_iniekpo,"Friends in person for 2 years. I moved away, we did LDR for one year. Currently in the same city and making great progress.
Yes, there's the trust issue especially when one partner give you reasons to lose trust. Overall, the maturity and sincerity of purpose will help. Always"
missrushdi,"Long distance relationship means constantly wondering if they still love you as much as they used to. I hope you do, and i hope it will never change."
ms0nigghaz,"I don’t want long distance anymore. I want someone not so far from me. I wanna go on dates with them, do a lot of fun stuff with them. I wanna hug them, send them gifts, be gifted. I want to be able to book at least a 1 or 2-hour flight to see them and vice versa. I don’t want to be in Nigeria wasting my time with someone in the USA who’s busy fooling around in other girls’ Direct Messages and comments."
